Image,Area,Perimeter,Compactness,MQI
cju43eigtm6ev0801mv0m96t1.jpg,147134,2945.1,0.2132,0.2132
cju43mkj9m8wb0871qiadahub.jpg,42728,837.61,0.7653,0.7653
cju45lbgznahl08180xz1h7u6.jpg,48237,901.17,0.7464,0.7464
cju45rj7ln8980850a7821fov.jpg,36404,767.75,0.7761,0.7761
cju45rj7ln8980850a7821fov.jpg,12085,435.61,0.8003,0.8003
cju5bf6hxa6m50817rbwettgu.jpg,38018,800.62,0.7453,0.7453
cju5bhv81abur0850ean02atv.jpg,75372,1140.67,0.728,0.728
cju5buy2bal250818ipl6fqwv.jpg,89720,1540.24,0.4753,0.4753
cju5buy2bal250818ipl6fqwv.jpg,23500,624.01,0.7584,0.7584
cju5ccpvqash50850kb4bs22k.jpg,69636,1242.69,0.5667,0.5667
cju5ddda9bkkt0850enzwatb1.jpg,15202,520.23,0.7059,0.7059
cju5eq8c8ck690850vix98hv3.jpg,122281,1541.41,0.6467,0.6467
cju5eyfe9cpk90987laa7tsl3.jpg,123823,1556.54,0.6422,0.6422
cju5fs6j6d8350801vglraq4u.jpg,91431,1439.74,0.5543,0.5543
cju5fw37edaae0801vkwvocn7.jpg,41594,803.39,0.8098,0.8098
cju5hl8nee8a40755fm8qjj0o.jpg,21755,595.39,0.7712,0.7712
cju5hyi9yegob0755ho3do8en.jpg,33640,770.3,0.7124,0.7124
cju5hyi9yegob0755ho3do8en.jpg,7750,347.87,0.8048,0.8048
cju5i5oh2efg60987ez6cpf72.jpg,129730,1498.82,0.7257,0.7257
cju5tenjojp1j0755ms4949h2.jpg,88711,1192.92,0.7834,0.7834
cju5thdbrjp1108715xdfx356.jpg,10970,418.39,0.7875,0.7875
cju5uhrdwkmsu0817ervv91l8.jpg,9862,395.26,0.7932,0.7932
cju5uhrdwkmsu0817ervv91l8.jpg,69977,1293.33,0.5257,0.5257
cju5wi6bqlxy90755bu227nvb.jpg,38187,820.68,0.7125,0.7125
cju5wkonqlrl409877y8zvnub.jpg,75391,1347.37,0.5219,0.5219
cju5wmvsdlx1j0871npgj8j4b.jpg,62900,1008.34,0.7774,0.7774
cju5wmvsdlx1j0871npgj8j4b.jpg,19480,579.32,0.7294,0.7294
cju5wphwwlu3m0987hh3ltg88.jpg,33735,769.21,0.7165,0.7165
cju5wqonpm0e60801z88ewmy1.jpg,19810,588.66,0.7184,0.7184
cju5x15djm7ae0755h8czf6nt.jpg,40016,842.62,0.7082,0.7082
cju5xq3tdm9fn0987pbedxdg5.jpg,11598,469.16,0.6621,0.6621
cju5y4hgqmk0i08180rjhbwvp.jpg,60313,991.35,0.7712,0.7712
cju5yjq1pmlgc0801z0t24bly.jpg,65544,1097.15,0.6842,0.6842
cju5ymyd8mmdc0801ry3by1xr.jpg,14384,525.12,0.6555,0.6555
cju6us80mv1b50871ebyq2wxa.jpg,5606,319.48,0.6902,0.6902
cju6wn57mvooj0850rp78hhy7.jpg,148209,2233.15,0.3735,0.3735
cju6x35ervu2808015c7eoqe4.jpg,88020,1368.33,0.5908,0.5908
cju6xa0qmvzun0818xjukgncj.jpg,47825,858.81,0.8148,0.8148
cju6ywm40wdbo0987pbftsvtg.jpg,61485,983.72,0.7984,0.7984
cju6z2616wqbk07555bvnuyr1.jpg,38346,820.44,0.7159,0.7159
cju76o55nymqd0871h31sph9w.jpg,3755,254.85,0.7265,0.7265
cju77j66ez52p08019xygi0co.jpg,14902,648.22,0.4457,0.4457
cju77q10sz9ug0801449wu1nu.jpg,8644,370.45,0.7915,0.7915
cju77q10sz9ug0801449wu1nu.jpg,14507,484.43,0.7768,0.7768
cju77q10sz9ug0801449wu1nu.jpg,48287,1135.75,0.4704,0.4704
cju783tmkzkqu081803g7q5vk.jpg,51461,894.85,0.8076,0.8076
cju7awzmu1ncs0871hziy65zx.jpg,36060,754.06,0.7969,0.7969
cju7b3f5h1sm40755i572jden.jpg,58975,1005.61,0.7329,0.7329
cju7b4mtw1n9n080186209f3d.jpg,18989,551.63,0.7842,0.7842
cju7bduyq1rjf08719giru9ho.jpg,51021,887.65,0.8137,0.8137
cju7cl8zm1xcu0817ado0jpas.jpg,144600,1683.33,0.6413,0.6413
cju7cl8zm1xcu0817ado0jpas.jpg,128574,1598.6,0.6322,0.6322
cju7cp6dw244p0818gncdol4m.jpg,17255,534.96,0.7577,0.7577
cju7d8m3b2e210755l8fj1yph.jpg,13551,489.12,0.7118,0.7118
cju7deifq2fzn0755lc8idyh8.jpg,31424,876.58,0.5139,0.5139
cju7dmlgf2ebw0871ieqas5fh.jpg,29006,685.67,0.7753,0.7753
cju7dmlgf2ebw0871ieqas5fh.jpg,3699,247.82,0.7568,0.7568
cju7dqcwi2dz00850gcmr2ert.jpg,47843,890.74,0.7577,0.7577
cju7eea9b2m0z0801ynqv1fqu.jpg,17539,906.52,0.2682,0.2682
cju7ehljc2or70871261br8ai.jpg,183685,2131.33,0.5081,0.5081
cju7er4kc2opa0801anuxc0eb.jpg,75062,1124.47,0.746,0.746
cju7es23b2vcp0755gpbm9s7v.jpg,154766,1773.24,0.6185,0.6185
cju7et17a2vjk0755e743npl1.jpg,9402,388.29,0.7836,0.7836
cju7et17a2vjk0755e743npl1.jpg,9950,436.79,0.6554,0.6554
cju7ey10f2rvf0871bwbi9x82.jpg,30540,791.13,0.6132,0.6132
cju7ey10f2rvf0871bwbi9x82.jpg,52052,1151.03,0.4937,0.4937
cju7fazv92ywx0755xov2erga.jpg,142064,1490.23,0.8039,0.8039
cju7fnfv02tt90801djnix9m8.jpg,8829,382.29,0.7592,0.7592
cju7fob3x301u0755x985pmmq.jpg,53003,1032.93,0.6243,0.6243
cju7fpfzq2wyf0818xxd1oziv.jpg,90855,1297.46,0.6782,0.6782
cju83ipu3jwpx0801z5pvguf8.jpg,14698,514.58,0.6975,0.6975
cju83k8fyjsxr0817d6nxs6r4.jpg,47615,945.82,0.6689,0.6689
cju83kxitjv340987z09m0ezy.jpg,17733,543.59,0.7541,0.7541
cju83wwn1k55e0850kw6i2d81.jpg,32273,734.83,0.7511,0.7511
cju843yjskhq30818qre4rwm2.jpg,23229,777.93,0.4823,0.4823
cju84ffdzkrjn08183jh1fxmb.jpg,33423,765.24,0.7172,0.7172
cju8567gdlcbq0801dwwyo2jt.jpg,128639,1430.55,0.7899,0.7899
cju85dx63lic408017f0l0400.jpg,14167,532.72,0.6273,0.6273
cju85dx63lic408017f0l0400.jpg,10209,409.56,0.7648,0.7648
cju85dx63lic408017f0l0400.jpg,19285,607.09,0.6576,0.6576
cju85fc11ljr40818edpb0inh.jpg,134705,1513.28,0.7392,0.7392
cju85hguellg50818kwu3s8d1.jpg,160716,1600.77,0.7882,0.7882
cju87nkyrnb970801q84m47yt.jpg,57729,987.72,0.7436,0.7436
cju887ftknop008177nnjt46y.jpg,16636,554.92,0.6789,0.6789
cju888fr7nveu0818r9uwtiit.jpg,56808,1137.34,0.5519,0.5519
cju88fpm4o0tl0871w1i6a4ds.jpg,12941,506.29,0.6344,0.6344
cju88nroho44508500129f1nh.jpg,11892,445.65,0.7525,0.7525
cju88y1mwoln50871emyfny1g.jpg,149393,1882.86,0.5295,0.5295
cju89y9h0puti0818i5yw29e6.jpg,123176,1544.25,0.6491,0.6491
cju8a3nhbpwnb0850d37fo2na.jpg,26122,646.84,0.7845,0.7845
cju8axq24r4an0755yhv9d4ly.jpg,16123,499.65,0.8116,0.8116
cju8b1v3br45u087189kku66u.jpg,109431,1390.97,0.7107,0.7107
cju8b542nr81x0871uxnkm9ih.jpg,7433,340.11,0.8075,0.8075
